# セグメント03（30:00〜40:00）
# cue_count=178
[30:01] 買い戻そうとしたり、インドと
[34:39] 打ち落とすためのものだったんだ。俺が
[34:41] 言ってるのはロシアが持ってる中で最悪の
[34:44] 奴らのことだよ。イスカンデルだ。
[34:57] それと金もな。これらはほぼ毎週
[34:57] ウクライナの年に振り注いでるんだ。で、
[35:00] ここからがちょっと変な話になるんだよ。
[35:03] なんで
[35:04] ミサイルを別のミサイルで打ち落とすのは
[35:06] 人類の工学が挑戦してきた中でも最も
[35:08] 難しいことの1つなんだ。まるで弾丸を別
[35:11] の弾丸で打ち落とすようなもんだよ。これ
[35:13] ができる国はほんのわずかしかないんだ。
[35:16] アメリカ、イスラエル、ロシア、中国
[35:18] くらいかな。それぞれの国が何十年もかけ
[35:22] て莫大なお金を使ってやっとできるように
[35:25] なったんだよ。これは簡単には新しい
[35:27] メンバーを受け入れないざされたクラブ
[35:29] みたいなもんなんだ。
[35:35] 知ってると思うけど、ウクライナは今戦争
[35:35] 中でお金も足りないし工場も爆撃されてる
[35:39] んだ。
[35:39] そんな大変な状況でもウクライナはそのクラブの門を叩くことを決めたんだ。
[35:51] 今は1人でなんでだって今日ロシアの
[35:51] キンジャールがキエフに落ちてくる時それ
[35:54] を建物に命中する前に止められるものは
[35:58] この世にたった1つしかないから
[36:12] アメリカのパトリオットミサイルでも問題
[36:12] があるんだ。ウクライナはこのミサイルに
[36:15] ついてとても心配なことを最近発見したん
[36:18] だ。ウクライナが何を発見したのか理解
[36:21] するためには数ヶ月前に戻って一見
[36:25] ウクライナとは関係なさそうな戦争を見て
[36:27] みる必要があるんだ。アメリカの対イラン
[36:30] 戦争だよ。何週間もの間イランはアメリカ
[36:34] の基地やその同盟国の国々にミサイルや
[36:38] ドローンを打ち込み続けていたんだ。
[36:40] そしてアメリカは唯一の方法で応じたんだ
[36:42] 。
[36:43] パトリオットミサイルを打ちまくったんだよ。たくさんのパトリオットをね。
[37:06] なんてこった。
[37:06] 対イラン戦争が始まってからわずか1ヶ月
[37:09] ちょっとでアメリカはパトリオット迎撃
[37:12] ミサイルの在庫の半分以上、つまり
[37:15] 1000発から1400発を40日間で
[37:18] 使い果たしたんだ。それはアメリカだけの
[37:22] 話じゃなかったんだよ。アナリストの推計
[37:24] によるとサウジアラビア、UAE、
[37:27] カタール、イスラエルのパトリオット
[37:30] ミサイルの在庫も合わせてほぼ90%も
[37:33] 減っちゃったんだ。これがどういう意味か
[37:36] 考えてみてよ。4年間もミサイル攻撃を
[37:39] 受け続けてる国にとってさ、ウクライナは
[37:41] ずっとこういうミサイルに頼ってきたのに
[37:44] 、気づいたらその在庫を持ってる国が別の
[37:47] 戦争で半分も使っちゃってたんだよ。
[37:49] ウクライナの供給は遅くなったし、中には
[37:53] 止まっちゃったものもあるんだ。ある西側
[37:55] の軍事ジャーナリストはこの状況を全然
[37:58] 遠慮なくズバっとまとめてたよ。
[38:01] パトリオットみたいな迎撃ミサイル。
[38:04] そんなの無理だよ。ウクライナには届かな
[38:06] いってさ。でもこの瞬間を1番よく表し
[38:10] てる言葉は内部から出てきたんだ。
[38:14] ドミトリークレバはウクライナの外務大臣
[38:16] だった人だよ。彼は何年も各国を回って
[38:19] パトリオットを懇願して回ってたんだ。
[38:22] そして今彼はこう言ってるんだ。
[38:25] パトリオットに頼れるのか?もう頼れない
[38:28] と思うよ。それが分かったことなんだ。
[38:31] アメリカの傘はあるけど順番待ちなんだ。
[38:35] それにウクライナは自分たちがその列の
[38:37] 1番後ろ中東にあるアメリカの基地の後ろ
[38:41] にいるって気づいたんだ。イスラエルの
[38:43] 後ろ、台湾の後ろだよ。今君はきっとこう
[38:47] 思ってるよね。なるほど。在庫が減った。
[38:50] でもまた作ればいいだけでしょ。まさに
[38:53] それがウクライナが期待していたことなん
[38:55] だ。そしてそこで2つ目の悪い知らせが
[38:58] 入ったんだ。今年だけでアメリカ軍は
[39:02] 新しいペトリオット迎撃ミサイルをたった
[39:05] 172発しか受け取っていないんだ。
[39:08] 172発だよ。
[39:11] 先発以上打った分を補充するためにな。
[39:14] 予測によるとアメリカの在庫がイランとの
[39:17] 戦争前のレベルに戻るのは2029年に
[39:21] なるらしい。うん。そう君が聞いた通りだ
[39:25] よ。ちょっと考えてみてくれ。西側の迎撃
[39:29] ミサイルの生産量は月に大体60から65
[39:33] 発くらいなんだ。問題が分かるかい?
[39:36] ゼレンスキー大統領が一言でうまくまとめ
[39:39] てくれたんだ。今の課題に比べたらそんな
[39:42] のは大したことないよ。その間
[39:45] 国境の向こう側では時計が逆方向に進んで
[39:48] いるんだ。ウクライナの軍事情報によると
[39:51] 、ロシアは2年間で約700発の
[39:54] イスカンデルミサイルを生産していて、
[39:56] さらに金ジャールも何十発も作っ
[39:59] ているらしい。それらを全部合わせると
