# セグメント02（20:00〜30:00）
# cue_count=194
[20:01] 気づかないポイントがあるんだ。この
[22:17] あったんだ。残念だけどドローンの
[22:19] エンジンは融を聞かせてくれないんだよね
[22:21] 。だからウクライナのエンジニアたちが
[22:25] 考え始めたのは別の質問だったんだ。
[22:28] もっと強力なドローンを作ることじゃ
[22:30] なかったんだ。もっと巧妙な方法だったん
[22:33] だ。もしドローンをエンジンをかける前に
[22:36] もっとターゲットの近くまで運べたらどう
[22:39] なると思う?
[22:41] ここからが本当に面白くなってくるんだ。
[22:45] だって彼らが受け取った答えは最
[22:48] 先端の研究所から来たものじゃなかったん
[22:50] だよ。これは軍隊がすでに他の目的で使っ
[22:54] ていた技術から来たんだ。その前にこの
[22:58] 全ての中心にある武器を知っておく必要が
[23:01] あるんだ。そしてその驚くべき名前はその
[23:05] 背後にいる人物の名前なんだ。ロローンの
[23:08] 名前はホーネットって言うんだ。それは
[23:10] 軽量な固定欲の航空機でAIが搭載され
[23:14] てるんだ。そしてこの部分がすごく重要な
[23:17] んだよ。なぜならAIのおかげでドローン
[23:20] は自分でターゲットを見つけて攻撃できる
[23:23] んだ。ロシア軍がコントロール信号を妨害
[23:27] しようとしてもね。便子妨害が溢れてる
[23:30] 戦場じゃ。これはほとんど反則みたいな
[23:34] 強みだよ。でもね、ホーネットについて
[23:38] ほとんど誰も知らないポイントがあるんだ
[23:40] 。あれは伝統的な国営防衛企業が作った
[23:43] ものじゃないんだよ。これは多分全く別の
[23:46] 分野で聞いたことのある人物が設立して
[23:50] 資金提供した会社によって開発されたんだ
[23:52] 。エリックシミットだよ。Googleの
[23:56] 元エグゼクティブチェアマンだよ。そう、
[23:58] 地球上で1番大きな検索エンジンを作るの
[24:01] を手伝ったあの男が今はAI搭載の戦争用
[24:04] ドローンに資金を出してるんだ。それも
[24:07] こっそりじゃなくて堂々とね。
[24:10] 2025年7月。そのドローンを
[24:13] ウクライナに提供する契約はゼレンスキー
[24:16] 大統領本人が出席して直接署名されたんだ
[24:20] 。公表された目標は何十万台ものドローン
[24:23] を生産することで2026年にはさらに
[24:27] 規模を拡大するってことだったんだ。
[24:29] ホーネットはその価値をすぐに証明して
[24:32] アメリカ陸軍ですらリトアニアや
[24:35] ポーランドドイツでの演習で使って訓練を
[24:38] 始めたんだ。つまりこれは実験用の
[24:41] プロトタイプじゃないんだ。これはすでに
[24:44] テストされて量産されている武器で
[24:47] シリコンバレーのお金が出資してるんだ。
[24:50] でも世界最高のAIを搭載した世界最高の
[24:54] 武器でさえやっぱりあの限界にはぶつかっ
[24:57] てたんだ。150km。その限界を突破
[25:01] するための解決策はドローン自体には
[25:03] なかったんだ。それはロシア自身も気づい
[25:07] ていなかった資格にあったんだ。この資格
[25:10] を理解するにはロシアの暴空システムが
[25:13] どう機能しているかを知る必要があるんだ
[25:15] 。そしてそれはそうになって機能している
[25:18] んだ。コードごとに整理されているんだ。
[25:21] 1番下の方だよ。地面の近くだよ。大体
[25:25] 1.5kmくらいの高さまでだよ。期間中
[25:28] とか自動だよ。低く飛んでるものには効果
[25:33] 的なんだ。もうちょっと上大体3kg
[25:36] くらいまでかな。ドローン他のドローンを
[25:40] 狩るためにどんどん使われてるんだ。それ
[25:43] より上になると、ま、そこからは話が
[25:45] 変わってくるんだ。3km以上になると
[25:48] ロシアにはほとんど選択肢が1つしかない
[25:51] んだ。自体空ミサイルだよ。めちゃくちゃ
[25:54] 高いんだ。パンチリとかトールS300、
[25:59] そして有名なS400みたいなシステム
[26:02] から発射されるんだ。
[26:14] 今説明したことに注目してみて。下の方は
[26:14] 安い武器だよ。1番上にはめちゃくちゃ
[26:17] 高いミサイルがあるんだ。でもその帯と帯
[26:21] の間には隙間があるんだ。安い武器が届か
[26:25] ないコードなんだ。そして何百万ドルも
[26:28] するミサイルを使うのはとんでもない
[26:31] 無駄遣いなんだ。カぽだ。世界で1番評価
[26:35] されてる暴空システムのど真ん中でさ、で
[26:39] 、当然の疑問が浮かぶよな。一体何がこの
[26:43] 空白を警報も鳴らさずに飛べるんだろうな
[26:47] 。答えは君が最初に見たあれだよ。
[26:52] バルーンだ。高度8000mで気球が
[26:55] ドローンを運ぶ場地される痕跡はごく
[26:58] わずかなんだ。ホーネットはエンジンを
[27:01] 切っててもレーダーの反射はほとんどなく
[27:04] て熱もほぼ出さないんだ。
[27:07] じゃあバルーンはどうなんだろう?
[27:09] バルーンも同じくらい目立たないし、もし
[27:12] かしたらもっとかもね。バルーンは静かに
[27:15] 上昇して雲を突き抜けてあらかじめ設定さ
[27:19] れたコードでドローンを自動で話すんだ。
[27:22] コードで決まることもあるし、地図上用の
[27:24] 教会を超えた時かもしれないし、単純に
[27:27] タイマーで動くこともある。誰かがボタン
[27:29] を押す必要は全くないんだ。それで
[27:32] ホーネットは君が見た通りの動きをするん
[27:34] だ。自分で安定してそのまま確空し始める
[27:38] んだ。バッテリーを使わずにね。やっと
[27:41] エンジンをつけるのはターゲットの近くに
[27:43] 来てからだからほとんどバッテリーが満タ
[27:46] のままなんだ。最初に言ったあのポイント
[27:48] 覚えてる?バッテリーが抜きずってやつ。
[27:52] それがドローンの後続距離を2倍時には
[27:55] それ以上に逃す理由なんだ。しかもロシア
[27:58] にとってはちょっと笑っちゃうくらいの
[27:59] ボーナスもあるんだ。こういうバルーンを
[28:02] 打ち落とすのは全然簡単じゃない。
[28:04] パーティーの風船みたいにピンで割れる
[28:06] もんじゃないからね。
[28:08] 例えば1998年にカナダが気少観測用の
[28:12] バルーンに向かって約1000発も打った
[28:15] ことがあるんだ。それでもバルーンは落ち
[28:17] なかったんだ。高度8000mでも穴が
[28:20] 開いてもガスがゆっくり抜けるから
[28:22] バルーンが降りてくるのに何日もかかる
[28:24] ことがあるんだ。その間にドローンはもう
[28:27] 任務を終えてるってわけさ。
[28:30] でもロシアにはまだ隠し玉があったんだ。
[28:33] だってロシアにはそのコードまで
[28:35] 届くミサイルがあるからね。打つだけで
[28:37] いいんだ。でもまさにそこでモスクワの誰
[28:41] にも解決できない問題が出てきたんだ。
[28:45] 例えばロシアがその危機を発見して狙いを
[28:48] 定めてミサイルを打って打ち落とせたと
[28:51] しよう。技術的にはうまくいくんだ。でも
[28:54] 実際には経済的には第3次なんだよ。だっ
[28:57] てここでこの動画の最初からずっと隠して
[29:00] た数字を発表するからね。S修百みたいな
[29:04] システムのミサイルは1発打つのに
[29:07] 何十万ドルから何百万ドルもかかるんだ。
[29:11] でもバルーンとドローンそれにガスを全部
[29:14] 合わせても全部で大体8000ドルから
[29:16] 2万ドルくらいなんだ。じゃあ今度は反対
[29:19] 側と比べてみてよ。それを全部
[29:22] 打ち落とそうとしても成功する保証もない
[29:24] のにロシアはまるで豪邸が変えるくらい
[29:27] 高いミサイルを使わなきゃいけないんだ。
[29:29] しかも豪邸1件どころか何件分にもなる
[29:33] ことだってある。それを何十回何百回も
[29:36] 繰り返すんだ。だからこんなの続けられる
[29:40] わけがないって分かるよね。それにロシア
[29:43] のミサイルの在庫だって無限じゃないんだ
[29:45] 。しかも明らかに証毛の気兆しも見えてる
[29:49] んだ。公開情報によるとロシアは戦争中に
[29:52] すでにS400のバッテリーを40機以上
[29:55] 失っているらしい。それだけじゃないんだ
[29:58] 。モスクワはトルコに売ったシステムを
