# セグメント06（1:00:00〜1:10:00）
# cue_count=162
[1:00:02] んだよ。それに軍トラックの新しいタイヤ
[1:05:48] よって支えられているんだ。戦争を指揮し
[1:05:51] ている男が1番戦争の中で何が起きている
[1:05:54] か分かっていないんだ。
[1:05:56] でもこの全体の中で
[1:05:58] 番大事な数字はまだ言われていないんだ。それは単純な計算なんだ。ブロフディによるとウクライナのドローンはすでに毎月
[1:06:12] 3万3000から3万5000
[1:06:12] 人のロシア兵を無力化しているんだ。それでクレムリンが毎月どれくらいの兵士を新たに集められるか知ってる?
[1:06:23] 3万3000から3万5000
[1:06:23] 人くらいだよ。つまり今のロシアは兵士を
[1:06:26] 補充できるのと同じ速さで兵士を失って
[1:06:29] るってことだね。それがどういう意味か
[1:06:32] 考えてみてよ。ロシア軍に新しく入る兵士
[1:06:35] はただ出ていった兵士の穴埋めをしてる
[1:06:38] だけなんだ。軍隊の規模はもう
[1:06:40] 増えてないんだ。そして増えない軍隊は
[1:06:43] 構成を維持できない。ただその場で血を
[1:06:46] 流すだけなんだ。もしこの数字が維持さ
[1:06:48] れるならそれがウクライナ司令部の公然
[1:06:52] たる掛けなんだ。戦争はもはや政治的な
[1:06:56] 意思の争いじゃなくなったんだ。それは
[1:06:58] 方程式になったんだ。
[1:07:06] そして今その方程式はロシアに不利になっ
[1:07:07] てるんだ。だからブチャレダーへの復讐は
[1:07:09] この話の中で1番重要じゃない部分なんだ
[1:07:13] 。君があのサーモカメラで見たのは攻撃
[1:07:16] じゃなかったんだ。それはシステムが動い
[1:07:19] ていただけなんだ。衛星が見つけたんだ。
[1:07:22] データは数分で降りてきたよ。
[1:07:24] ドローンが実行したんだ。ウクライナはドローンの競争で勝ったわけじゃない。ウクライナは法定式を解決したんだ。そしてそれを解決したのは武器じゃなくて情報のスピードだったんだよ。そしてこれはこの戦争だけじゃなくもっと広い範囲にも当てはまるんだ。
[1:07:49] 小さな国でも拡大国の攻撃を食い止められ
[1:07:52] るってことだよ。相手より早く見つけ
[1:07:55] られればそれが世界がそのメッセージを
[1:07:58] ちゃんと理解したっていう1番の証拠だっ
[1:08:00] たんだ。アメリカの特殊作戦司令部も同じ
[1:08:04] タイプのシステムを自分たちの兵士に
[1:08:07] 導入し始めてるんだ。地球上で
[1:08:11] 1番強い軍隊がウクライナのやり方を真似
[1:08:13] してるんだよ。制度が先生になっちゃっ
[1:08:16] たってわけだな。としてこの話はまだ
[1:08:18] 始まったばかりなんだ。ブロブ部隊は2年
[1:08:21] 目にはその数字を倍にする勢いだ。20万
[1:08:25] 人の損失だよ。ロシア側はまあ
[1:08:29] これから大変な仕事が待ってるよ。この
[1:08:32] 方程式はこれから数ヶ月の間に
[1:08:34] 試されることになるんだ。そして彼女の
[1:08:37] 全ての方はこのチャンネルを通してここに
[1:08:40] 届くんだ。コメントで教えてくれよ。
[1:08:44] ロシアはまだこの方程式を崩せると思う?
[1:08:48] それとももう完全に流れが変わっちゃった
[1:08:50] のかな?
[1:08:52] じゃあカメラを引いて全体を見てみて。
[1:08:56] 農場の小さな飛行機で1500kmも飛ぶ
[1:08:59] けど遅すぎてレーダーが気にしないやつだ
[1:09:01] よ。8000ドルの気球が何百万ドルも
[1:09:05] するシステムを欺らうんだ。創業3年の
[1:09:08] 会社が作ったピンク色のミサイルだよ。
[1:09:12] アメリカが開けた穴を埋めてるんだ。それ
[1:09:16] に衛星という頭脳があれば軍のたった2%
[1:09:19] でもロシアの損失全体の1/3に相当する
[1:09:22] 打撃を与えられるんだ。どれか1つだけ
[1:09:26] じゃ
[1:09:27] 戦争には勝てないんだ。でもそれらが一緒
[1:09:29] になると同じ物語を語るんだ。頼むのを
[1:09:33] やめて自分たちで作り始めた国の物語さ。
[1:09:37] 4年前ウクライナは武器を貸してくれって
[1:09:40] 必死に頼んでたんだ。しかもそれぞれの
[1:09:43] 武器をどこで使っていいか細かいルール
[1:09:45] までついてきてさ。今じゃウクライナは
[1:09:49] 毎年50種類以上の新しい武器を試して
[1:09:52] 何百万ものドローンを作ってる。
[1:09:56] 技術を味方の国に輸出して地球で1番強い
